"","tmax_mov","tmin_mov","rh_mov","rain_mov"
"164",29.3250195081229,23.6887667656409,94.02188539505,32.4990625
"165",29.2992048476446,23.5048423527846,94.0365165301731,30.67175
"166",29.2217666296972,23.1967781828302,93.8583935328892,31.19275
"167",29.3295496092919,23.0011711808269,93.7511532647269,29.810375
"168",29.0863823085016,22.7498831261599,93.6126689910889,27.6984375
"169",28.7634195233795,22.3311138884522,93.4356173787798,26.4494375
"170",28.5193300645904,21.9989641042673,93.2407706805638,20.3610625
"171",28.4330276028798,21.7003289998505,93.0013387543815,17.551375
"172",28.2620364559563,21.3345146852227,92.6830430712018,16.8616875
"173",28.1816530959003,21.1074793859235,92.6764501162938,17.608875
"174",27.9088614693993,20.8166134626464,92.6139416013445,18.0735
"175",27.5414506687361,20.4829997526385,92.5541687011718,17.1223125
"176",27.3032745481142,20.1121712038923,92.5064977237156,10.9215625
"177",27.3455324384082,19.9445805145894,92.311762877873,11.11725
"178",27.3801537077748,19.7744423638148,91.9163857187543,7.402125
"179",27.1929613975103,19.462568528628,91.6129397664751,7.5196875
"180",27.2329081293199,19.2677395974362,91.4796464102609,6.7715
"181",27.1205835215812,19.0982354302858,91.3522931507655,7.0971875
"182",27.1693310987916,19.0882069620491,91.2798766408648,6.8439375
"183",27.1270443910602,19.1930390360477,91.3193046024868,6.4401875
"184",27.2212313036604,19.2327264109201,91.2920530864171,5.61125
"185",27.2735176621911,19.3387572903171,91.3464592524937,5.9095
"186",27.3561718363191,19.3652405153445,91.3808518137251,6.73375
"187",27.7476970686503,19.7099892831877,91.430773803166,6.6315625
"188",28.1736937196734,19.9275378820745,91.4787926673889,6.2250625
"189",28.4820057195899,20.2590191017102,91.4099204199655,5.477875
"190",28.7844850701641,20.5096213013657,91.2500395774841,5.4614375
"191",29.1756068583709,20.8115934650406,91.1764986174447,5.4614375
"192",29.2624337974433,20.9644238628756,90.9761493546622,4.9758125
